----------  Fri  8 May 98, hpt v0.19
1 08.57.08  Scanning area: C_PLUSPLUS.ger
1 08.57.08  Scanning area: binkley
1 08.57.09  Scanning area: Binkley.ger
9 08.57.10  Could not open /home/mtt/fido/msgb/dolphin/point
9 08.57.10  Could not open /home/mtt/fido/msgb/dolphin/announce
1 08.57.10  Scanning area: hardrock.ger
1 08.57.12  Scanning area: linux.ger
1 08.57.17  Scanning area: linux.develop.ger
----------  Wed  3 Jun 98, hpt v0.20
1 08.58.16  Start
1 08.58.16  Scanning area: 2432.Points
1 08.58.16  Scanning area: 2432.Talk
1 08.58.17  Scanning area: C_ECHO.ger
1 08.58.18  Scanning area: C_PLUSPLUS.ger
1 08.58.18  Scanning area: binkley
1 08.58.19  Scanning area: Binkley.ger
9 08.58.20  Could not open /home/mtt/fido/msgb/dolphin/point
9 08.58.20  Could not open /home/mtt/fido/msgb/dolphin/announce
1 08.58.20  Scanning area: hardrock.ger
1 08.58.22  Scanning area: linux.ger
1 08.58.27  Scanning area: linux.develop.ger
----------  Wed  3 Jun 98, hpt v0.20
1 09.00.17  Start
1 09.00.17  Scanning area: 2432.Points
1 09.00.17  Scanning area: 2432.Talk
1 09.00.17  Scanning area: C_ECHO.ger
1 09.00.18  Scanning area: C_PLUSPLUS.ger
1 09.00.19  Scanning area: binkley
1 09.00.20  Scanning area: Binkley.ger
9 09.00.20  Could not open /home/mtt/fido/msgb/dolphin/point
9 09.00.20  Could not open /home/mtt/fido/msgb/dolphin/announce
1 09.00.20  Scanning area: hardrock.ger
1 09.00.22  Scanning area: linux.ger
1 09.00.28  Scanning area: linux.develop.ger
----------  Wed  3 Jun 98, hpt v0.20
1 09.01.01  Start
1 09.01.01  Scanning area: 2432.Points
1 09.01.01  Scanning area: 2432.Talk
1 09.01.02  Scanning area: C_ECHO.ger
1 09.01.03  Scanning area: C_PLUSPLUS.ger
1 09.01.03  Scanning area: binkley
1 09.01.04  Scanning area: Binkley.ger
9 09.01.05  Could not open /home/mtt/fido/msgb/dolphin/point
9 09.01.05  Could not open /home/mtt/fido/msgb/dolphin/announce
1 09.01.05  Scanning area: hardrock.ger
1 09.01.06  Scanning area: linux.ger
1 09.01.12  Scanning area: linux.develop.ger
----------  Wed  3 Jun 98, hpt v0.20
1 09.04.20  Start
1 09.04.20  Scanning area: 2432.Points
1 09.04.20  Scanning area: 2432.Talk
1 09.04.20  Scanning area: C_ECHO.ger
1 09.04.21  Scanning area: C_PLUSPLUS.ger
1 09.04.22  Scanning area: binkley
1 09.04.22  Scanning area: Binkley.ger
9 09.04.23  Could not open /home/mtt/fido/msgb/dolphin/point
9 09.04.23  Could not open /home/mtt/fido/msgb/dolphin/announce
1 09.04.23  Scanning area: hardrock.ger
1 09.04.25  Scanning area: linux.ger
1 09.04.31  Scanning area: linux.develop.ger
1 09.04.33  Scanning area: os2.base.ger
1 09.04.34  Scanning area: os2.beta.ger
1 09.04.34  Scanning area: os2bbs.ger
1 09.04.35  Scanning area: os2.debate.ger
1 09.04.36  Scanning area: os2.install.ger
1 09.04.36  Scanning area: Os2.wps.ger
1 09.04.37  Scanning area: Os2.prog.ger
1 09.04.37  Scanning area: Os2.lan.ger
1 09.04.38  Scanning area: os2.hw.ger
1 09.04.39  Scanning area: os2.online.ger
1 09.04.39  Scanning area: os2.tec.ger
1 09.04.40  Scanning area: OWL.Newfiles
1 09.04.40  Scanning area: owl.announce
1 09.04.40  Scanning area: owl.flea
1 09.04.41  Scanning area: owlserver.news
1 09.04.41  Scanning area: Paderborn.Flohmarkt
1 09.04.41  Scanning area: Tolkien.ger
1 09.04.41  Scanning area: Schweden.ger
1 09.04.41  End

----------  Wed  3 Jun 98, hpt v0.20
1 14.03.14  Start
1 14.03.14  End

----------  Wed  3 Jun 98, hpt v0.20
1 14.03.17  Start
1 14.03.17  End

----------  Wed  3 Jun 98, hpt v0.20
1 14.03.19  Start
1 14.03.19  Scanning area: 2432.Points
1 14.03.19  Scanning area: 2432.Talk
1 14.03.20  Scanning area: C_ECHO.ger
1 14.03.21  Scanning area: C_PLUSPLUS.ger
1 14.03.22  Scanning area: binkley
1 14.03.22  Scanning area: Binkley.ger
9 14.03.23  Could not open /home/mtt/fido/msgb/dolphin/point
9 14.03.23  Could not open /home/mtt/fido/msgb/dolphin/announce
1 14.03.23  Scanning area: hardrock.ger
1 14.03.25  Scanning area: linux.ger
1 14.03.30  Scanning area: linux.develop.ger
1 14.03.32  Scanning area: os2.base.ger
1 14.03.33  Scanning area: os2.beta.ger
1 14.03.33  Scanning area: os2bbs.ger
1 14.03.34  Scanning area: os2.debate.ger
1 14.03.35  Scanning area: os2.install.ger
1 14.03.36  Scanning area: Os2.wps.ger
1 14.03.36  Scanning area: Os2.prog.ger
1 14.03.37  Scanning area: Os2.lan.ger
1 14.03.37  Scanning area: os2.hw.ger
1 14.03.38  Scanning area: os2.online.ger
1 14.03.39  Scanning area: os2.tec.ger
1 14.03.40  Scanning area: OWL.Newfiles
1 14.03.40  Scanning area: owl.announce
1 14.03.40  Scanning area: owl.flea
1 14.03.40  Scanning area: owlserver.news
1 14.03.40  Scanning area: Paderborn.Flohmarkt
1 14.03.40  Scanning area: Tolkien.ger
1 14.03.40  Scanning area: Schweden.ger
1 14.03.40  End

